Ticker,rank,score,name,sector,index,price,ret_1m,ret_3m,ret_6m,rs_1m,rs_3m,rs_6m,rs_3m_chg,pct_from_52w_high,new_52w_high,pct_vs_50dma,pct_vs_200dma,above_50dma,above_200dma,vol_ratio_20_60,volume_x
CSX,88,0.6882203875702328,CSX Corporation,Industrials,SP500,51.279998779296875,0.021717477234754146,0.13300929476392742,0.2049004340520686,0.580896686159844,0.7076023391812866,0.7914230019493177,0.031189083820662766,-0.03663349201031252,False,0.028797479911701895,0.20194098917432002,True,True,0.5476933104838312,0.6328989297600636
CVX,89,0.6880438023162482,Chevron Corporation,Energy,SP500,201.86000061035156,0.05881998423427093,0.1159797186577467,0.10027133561764034,0.7173489278752436,0.6647173489278753,0.6179337231968811,0.2865497076023392,-0.026821253997348915,False,0.08409940468800503,0.1422425199151338,True,True,0.9177027646760638,0.807833496951425
BIIB,90,0.6871952757711272,Biogen,Health Care,SP500,218.5,0.05083445244332907,0.11479591836734704,0.1390886855232265,0.6861598440545809,0.6627680311890838,0.7076023391812866,0.13255360623781676,-0.013811146381622952,False,0.05345068747342885,0.15222500542626438,True,True,0.6606316282092475,0.47811187453374254
MTD,91,0.6864591216603599,Mettler Toledo,Health Care,SP500,1398.5799560546875,0.013015964605347374,0.1846550069582087,0.02333375967896889,0.52046783625731,0.8167641325536062,0.4580896686159844,0.15984405458089668,-0.07134039526911684,False,0.04228999679208245,0.058964886487220536,True,True,0.341133217313445,0.7551466001247661
CF,92,0.6854649696135764,CF Industries,Materials,SP500,125.79000091552734,0.005312302005868963,0.12539495363078856,0.27541013940241443,0.47368421052631576,0.6861598440545809,0.8654970760233918,0.36257309941520466,-0.07736683062769656,False,0.07014789282940814,0.18816591548533368,True,True,1.0664979212171268,0.7920889239948875
ERIE,93,0.6853996101364522,Erie Indemnity,Financials,SP500,260.3999938964844,0.11439207402318319,0.22912690054511908,-0.02239720650446897,0.834307992202729,0.8908382066276803,0.3469785575048733,0.36257309941520466,-0.2496287183131043,False,0.0722981503511102,0.030145533447036854,True,True,0.6872309541176885,0.8247099632717309
FTNT,94,0.6851955051026257,Fortinet,Information Technology,SP500,166.0,0.07617504051863855,0.2031600966246192,1.1004682090857663,0.7660818713450293,0.8499025341130604,0.9805068226120858,-0.1442495126705653,-0.03924064606550559,False,0.05434045680746724,0.5354603483402374,True,True,0.8888851178821688,0.8019827721187155
NDAQ,95,0.6846737759431258,"Nasdaq, Inc.",Financials,SP500,99.30999755859375,0.04361069500606596,0.0772395048728256,0.14160554954889215,0.6647173489278753,0.5614035087719298,0.7115009746588694,0.09941520467836257,-0.009884978871147698,False,0.08950361286795783,0.10642872791961944,True,True,0.33744396527274717,0.6135732132497509
SOLV,96,0.6824423804609562,Solventum,Health Care,SP500,91.12000274658203,0.049527793905465245,0.21574391536675153,0.22803243253692185,0.6842105263157895,0.8752436647173489,0.8226120857699805,-0.07017543859649122,-0.0053487376979033385,False,0.10605884390214948,0.18379790716476818,True,True,0.8560226263430433,0.75641220516413
NDSN,97,0.6817050796926958,Nordson Corporation,Industrials,SP500,324.5899963378906,0.09944783476948804,0.1328775762419787,0.11269910398564176,0.8031189083820662,0.7056530214424951,0.6510721247563352,0.2124756335282651,-0.030206201076822814,False,0.07213800726965225,0.17588680076340357,True,True,1.3685806015296644,0.8722764651809893
